"Feed Number","Title","Link","Description","Feed URL","Newsletter Signup URL"
"33","DEV - Updates on relevant code enforcement actions in specific areas - Recent Updates","https://www.columbus.gov/","DEV - Updates on relevant code enforcement actions in specific areas - Recent Updates","https://public.govdelivery.com/topics/OHCCC_33/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_33
"340","BZS - Zone In Columbus - Recent Updates","https://www.columbus.gov/","BZS - Zone In Columbus - Recent Updates","https://public.govdelivery.com/topics/OHCCC_340/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_340
"341","SUS - Sustainable Columbus Climate Action Plan - Recent Updates","https://www.columbus.gov/","SUS - Sustainable Columbus Climate Action Plan - Recent Updates","https://public.govdelivery.com/topics/OHCCC_341/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_341
"342","R & P - Media Releases - Recent Updates","https://www.columbus.gov/","R & P - Media Releases - Recent Updates","https://public.govdelivery.com/topics/OHCCC_342/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_342
"344","MAY - Financial Navigator Program - Recent Updates","http://www.columbus.gov","MAY - Financial Navigator Program - Recent Updates","https://public.govdelivery.com/topics/OHCCC_344/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_344
"346","DEV - SB_2020_COVIDRGwithPPEG_R1_ NS Survey_032021 - Recent Updates","http://www.columbus.gov","DEV - SB_2020_COVIDRGwithPPEG_R1_ NS Survey_032021 - Recent Updates","https://public.govdelivery.com/topics/OHCCC_346/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_346
"347","R & P - Aquatics Capital Improvement Plan - Recent Updates","https://www.columbus.gov/","R & P - Aquatics Capital Improvement Plan - Recent Updates","https://public.govdelivery.com/topics/OHCCC_347/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_347
"348","R & P - Broad Street Arts and Senior Campus - Recent Updates","https://www.columbus.gov/","R & P - Broad Street Arts and Senior Campus - Recent Updates","https://public.govdelivery.com/topics/OHCCC_348/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_348
"349","CARES Act Small Business fund recipients - Recent Updates","https://www.columbus.gov/","CARES Act Small Business fund recipients - Recent Updates","https://public.govdelivery.com/topics/OHCCC_349/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_349
"34","DOT - CTV This Week - Recent Updates","https://www.columbus.gov/","DOT - CTV This Week - Recent Updates","https://public.govdelivery.com/topics/OHCCC_34/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_34
"350","R & P - 2021 Memorial Day Pools - Recent Updates","https://www.columbus.gov/","R & P - 2021 Memorial Day Pools - Recent Updates","https://public.govdelivery.com/topics/OHCCC_350/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_350
"351","R & P - Tuttle Pool Monday - Recent Updates","https://www.columbus.gov/","R & P - Tuttle Pool Monday - Recent Updates","https://public.govdelivery.com/topics/OHCCC_351/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_351
"352","Constituents-Police Chief Search - Recent Updates","https://www.columbus.gov/","Constituents-Police Chief Search - Recent Updates","https://public.govdelivery.com/topics/OHCCC_352/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_352
"353","R & P - Tuttle June 7 - Recent Updates","https://www.columbus.gov/","R & P - Tuttle June 7 - Recent Updates","https://public.govdelivery.com/topics/OHCCC_353/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_353
"354","SER - University District - Recent Updates","https://www.columbus.gov/","SER - University District - Recent Updates","https://public.govdelivery.com/topics/OHCCC_354/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_354
"355","Interfaith Leaders Meeting - Recent Updates","https://www.columbus.gov/","Interfaith Leaders Meeting - Recent Updates","https://public.govdelivery.com/topics/OHCCC_355/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_355
"356","R&P - Food Office - Recent Updates","https://www.columbus.gov/","R&P - Food Office - Recent Updates","https://public.govdelivery.com/topics/OHCCC_356/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_356
"357","CCC - Councilmember Dorans' Forum - Recent Updates","https://www.columbus.gov/","CCC - Councilmember Dorans' Forum - Recent Updates","https://public.govdelivery.com/topics/OHCCC_357/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_357
"358","MAY-Interfaith Leaders Oct 2021 - Recent Updates","https://www.columbus.gov/","MAY-Interfaith Leaders Oct 2021 - Recent Updates","https://public.govdelivery.com/topics/OHCCC_358/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_358
"359","Hispanic/Latinx Leaders - Recent Updates","https://www.columbus.gov/","Hispanic/Latinx Leaders - Recent Updates","https://public.govdelivery.com/topics/OHCCC_359/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_359
"35","SER - WarriorWatch - Recent Updates","https://www.columbus.gov/","SER - WarriorWatch - Recent Updates","https://public.govdelivery.com/topics/OHCCC_35/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_35
"360","30 x30 - Recent Updates","https://www.columbus.gov/","30 x30 - Recent Updates","https://public.govdelivery.com/topics/OHCCC_360/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_360
"362","Columbus Women's Commission - Thank You - Recent Updates","https://www.columbus.gov/","Columbus Women's Commission - Thank You - Recent Updates","https://public.govdelivery.com/topics/OHCCC_362/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_362
